State,Fiscal year,Country,Commodity name,Dollar value,Fiscal quarter,Trade type,Fiscal quarter description
PR,2019,Bahamas,Food Preparations,329972,3,Exports,Fiscal Quarter 3
NM,2021,Thailand,"Other Feeds, Meals, And Fodders",1481125,3,Exports,Fiscal Quarter 3
OK,2019,China,Cotton,547812,2,Exports,Fiscal Quarter 2
AR,2021,Canada,Poultry Meat And Products (Excluding Eggs),11944378,3,Exports,Fiscal Quarter 3
AL,2020,Thailand,Live Animals,2004106,4,Exports,Fiscal Quarter 4
NM,2019,Canada,"Sugar, Sweeteners, Beverage Bases",7647,2,Exports,Fiscal Quarter 2
GA,2022,Somalia,Food Preparations,5887356,4,Exports,Fiscal Quarter 4
NC,2020,Netherlands,Food Preparations,2804614,2,Exports,Fiscal Quarter 2
IL,2019,Indonesia,Distillers Grains,13024897,3,Exports,Fiscal Quarter 3
HI,2023,World,Fresh Fruit,1018825,4,Exports,Fiscal Quarter 4
IN,2022,Japan,"Sugar, Sweeteners, Beverage Bases",339737,2,Exports,Fiscal Quarter 2
CT,2019,Sweden,"Dextrins, Peptones, And Proteins",283644,1,Exports,Fiscal Quarter 1
IA,2022,Taiwan,Soybeans,31817,3,Exports,Fiscal Quarter 3
WY,2019,World,Pulses,1185596,3,Exports,Fiscal Quarter 3
PR,2024,British Virgin Islands,Non-Alcoholic Beverages (Excluding Juices),689693,1,Exports,Fiscal Quarter 1
ID,2020,Japan,Dairy Products,6375647,2,Exports,Fiscal Quarter 2
NV,2020,Australia,"Bakery Goods, Cereals, And Pasta",507135,1,Exports,Fiscal Quarter 1
UT,2022,World,Hay,23034099,4,Exports,Fiscal Quarter 4
MT,2022,Canada,Distillers Grains,7345340,2,Exports,Fiscal Quarter 2
NV,2024,Peru,Dairy Products,12710583,2,Exports,Fiscal Quarter 2
US,2019,Hong Kong,Tree Nuts,620088961,1,Exports,Fiscal Quarter 1
RI,2023,World,Non-Alcoholic Beverages (Excluding Juices),710187,3,Exports,Fiscal Quarter 3
CA,2023,South Korea,Dairy Products,30702611,4,Exports,Fiscal Quarter 4
AK,2023,Mexico,"Meat Products, Nesoi",46238,3,Exports,Fiscal Quarter 3
FL,2023,Honduras,Dairy Products,8331835,2,Exports,Fiscal Quarter 2
FL,2024,Colombia,Dairy Products,9755121,2,Exports,Fiscal Quarter 2
VA,2021,World,Poultry Meat And Products (Excluding Eggs),40018311,2,Exports,Fiscal Quarter 2
NC,2024,Mexico,Poultry Meat And Products (Excluding Eggs),4963892,2,Exports,Fiscal Quarter 2
ID,2019,Mexico,Milled Grains And Products,19751033,3,Exports,Fiscal Quarter 3
CA,2023,Taiwan,Food Preparations,18908583,2,Exports,Fiscal Quarter 2
IL,2024,Dominican Republic,Pork And Pork Products,38116368,1,Exports,Fiscal Quarter 1
VT,2021,Australia,Non-Alcoholic Beverages (Excluding Juices),23470,3,Exports,Fiscal Quarter 3
OH,2022,World,Food Preparations,50044891,2,Exports,Fiscal Quarter 2
DC,2023,Costa Rica,Poultry Meat And Products (Excluding Eggs),12400,1,Exports,Fiscal Quarter 1
NV,2023,World,Condiments And Sauces,6906563,4,Exports,Fiscal Quarter 4
KS,2022,China,Dog And Cat Food,7067968,1,Exports,Fiscal Quarter 1
VT,2022,World,Dog And Cat Food,974764,2,Exports,Fiscal Quarter 2
WA,2022,Japan,Soybeans,4047995,2,Exports,Fiscal Quarter 2
CA,2024,China,Tree Nuts,703097425,1,Exports,Fiscal Quarter 1
IN,2019,Canada,Pork And Pork Products,4953648,3,Exports,Fiscal Quarter 3
WA,2021,Canada,Fresh Fruit,101379439,3,Exports,Fiscal Quarter 3
NY,2021,Mexico,"Bakery Goods, Cereals, And Pasta",1007647,4,Exports,Fiscal Quarter 4
RI,2023,World,"Meat Products, Nesoi",1831835,1,Exports,Fiscal Quarter 1
AZ,2020,Malaysia,Fresh Fruit,39258,2,Exports,Fiscal Quarter 2
IL,2022,Japan,Corn,16833740,2,Exports,Fiscal Quarter 2
AZ,2022,Saudi Arabia,Hay,26202842,4,Exports,Fiscal Quarter 4
AZ,2021,Taiwan,Fresh Fruit,73500,4,Exports,Fiscal Quarter 4
WA,2020,Taiwan,Soybeans,51688829,1,Exports,Fiscal Quarter 1
NJ,2024,World,Food Preparations,80956744,2,Exports,Fiscal Quarter 2
MD,2023,World,Condiments And Sauces,12717067,4,Exports,Fiscal Quarter 4
TN,2021,Mexico,Poultry Meat And Products (Excluding Eggs),3120325,2,Exports,Fiscal Quarter 2
PA,2024,United Kingdom,Non-Alcoholic Beverages (Excluding Juices),1123204,2,Exports,Fiscal Quarter 2
MS,2021,Pakistan,Cotton,31880140,4,Exports,Fiscal Quarter 4
DE,2019,Hong Kong,Poultry Meat And Products (Excluding Eggs),4766117,2,Exports,Fiscal Quarter 2
DE,2020,Canada,Live Animals,8669,3,Exports,Fiscal Quarter 3
DE,2020,Hong Kong,Poultry Meat And Products (Excluding Eggs),952016,2,Exports,Fiscal Quarter 2
UT,2024,Japan,Essential Oils,3661598,2,Exports,Fiscal Quarter 2
NM,2021,Mexico,"Sugar, Sweeteners, Beverage Bases",3104865,3,Exports,Fiscal Quarter 3
OH,2020,World,Pork And Pork Products,38351948,2,Exports,Fiscal Quarter 2
IA,2023,Canada,Pork And Pork Products,44137548,2,Exports,Fiscal Quarter 2
PA,2022,World,Food Preparations,42847740,2,Exports,Fiscal Quarter 2
MT,2023,Brazil,Milled Grains And Products,24561,4,Exports,Fiscal Quarter 4
DE,2022,Canada,Fruit And Vegetable Juices,3346796,3,Exports,Fiscal Quarter 3
LA,2021,Dominican Republic,Soybean Meal,47278140,4,Exports,Fiscal Quarter 4
IL,2021,Japan,Corn,1096452,1,Exports,Fiscal Quarter 1
FL,2022,Panama,Dairy Products,10082583,3,Exports,Fiscal Quarter 3
OR,2021,Canada,Processed Vegetables,16469169,3,Exports,Fiscal Quarter 3
MD,2023,China,Soybeans,1696123,4,Exports,Fiscal Quarter 4
US,2019,Indonesia,Soybeans,183720878,3,Exports,Fiscal Quarter 3
KY,2019,Canada,Distilled Spirits,13286933,3,Exports,Fiscal Quarter 3
ND,2020,Ethiopia,Pulses,1452585,3,Exports,Fiscal Quarter 3
AL,2020,World,Soybeans,18454572,1,Exports,Fiscal Quarter 1
HI,2019,Hong Kong,Fresh Fruit,525635,1,Exports,Fiscal Quarter 1
PA,2022,World,Chocolate And Cocoa Products,154556248,4,Exports,Fiscal Quarter 4
KY,2020,Japan,Live Animals,14123154,2,Exports,Fiscal Quarter 2
IA,2021,South Korea,Pork And Pork Products,34970512,3,Exports,Fiscal Quarter 3
MI,2024,Canada,Soybean Meal,69612196,3,Exports,Fiscal Quarter 3
NV,2023,Hong Kong,Food Preparations,10033238,2,Exports,Fiscal Quarter 2
VT,2023,Canada,Dog And Cat Food,435304,3,Exports,Fiscal Quarter 3
MS,2023,Mexico,Poultry Meat And Products (Excluding Eggs),11657486,4,Exports,Fiscal Quarter 4
DE,2021,Hong Kong,Wine And Related Products,343144,1,Exports,Fiscal Quarter 1
ID,2020,Peru,Pulses,1044746,2,Exports,Fiscal Quarter 2
LA,2023,Haiti,Rice,57160251,4,Exports,Fiscal Quarter 4
VA,2019,Morocco,Soybean Meal,10241450,3,Exports,Fiscal Quarter 3
MD,2020,World,Soybeans,12157618,1,Exports,Fiscal Quarter 1
ID,2019,World,Pulses,9526117,4,Exports,Fiscal Quarter 4
SD,2022,Philippines,Distillers Grains,78750,3,Exports,Fiscal Quarter 3
NH,2019,World,Animal Fats,4930000,3,Exports,Fiscal Quarter 3
NE,2024,Mexico,Beef And Beef Products,55850950,2,Exports,Fiscal Quarter 2
ME,2020,World,Processed Fruit,3035738,4,Exports,Fiscal Quarter 4
NE,2024,Canada,Pork And Pork Products,11370358,2,Exports,Fiscal Quarter 2
ME,2023,Guatemala,Processed Vegetables,202135,3,Exports,Fiscal Quarter 3
MO,2020,Malaysia,Soybean Meal,1392132,2,Exports,Fiscal Quarter 2
AL,2019,Malaysia,Live Animals,2406930,1,Exports,Fiscal Quarter 1
UT,2019,South Korea,Dairy Products,4539898,4,Exports,Fiscal Quarter 4
AR,2024,Bangladesh,Cotton,7982500,3,Exports,Fiscal Quarter 3
RI,2020,Canada,"Meat Products, Nesoi",1372471,4,Exports,Fiscal Quarter 4
TN,2023,Angola,Poultry Meat And Products (Excluding Eggs),15109928,1,Exports,Fiscal Quarter 1
WA,2019,Taiwan,Fresh Fruit,32261716,1,Exports,Fiscal Quarter 1
DE,2021,Indonesia,Fresh Fruit,318080,1,Exports,Fiscal Quarter 1
NC,2019,World,Pork And Pork Products,125931376,1,Exports,Fiscal Quarter 1
GA,2024,World,Distillers Grains,30378029,1,Exports,Fiscal Quarter 1
IA,2024,Canada,Pork And Pork Products,49876586,2,Exports,Fiscal Quarter 2
VT,2023,World,Chocolate And Cocoa Products,9673711,2,Exports,Fiscal Quarter 2
LA,2020,Mexico,Corn,138775658,4,Exports,Fiscal Quarter 4
CO,2024,Mexico,Beef And Beef Products,50564735,3,Exports,Fiscal Quarter 3
AK,2023,Saudi Arabia,Dairy Products,64637,2,Exports,Fiscal Quarter 2
SD,2020,World,Beef And Beef Products,17665223,1,Exports,Fiscal Quarter 1
PA,2021,Mexico,Essential Oils,672487,4,Exports,Fiscal Quarter 4
WA,2023,World,Processed Vegetables,313071511,3,Exports,Fiscal Quarter 3
MS,2019,Vietnam,Cotton,18257902,1,Exports,Fiscal Quarter 1
MS,2021,Canada,Rice,6316266,3,Exports,Fiscal Quarter 3
ND,2022,Canada,Vegetable Oils (Excluding Soybean),10559598,2,Exports,Fiscal Quarter 2
PR,2021,Aruba,Dairy Products,113673,1,Exports,Fiscal Quarter 1
MD,2020,World,Condiments And Sauces,9445510,2,Exports,Fiscal Quarter 2
WI,2020,World,Beef And Beef Products,49344156,1,Exports,Fiscal Quarter 1
MS,2021,Colombia,"Bakery Goods, Cereals, And Pasta",17155,1,Exports,Fiscal Quarter 1
OH,2021,Australia,Food Preparations,559782,1,Exports,Fiscal Quarter 1
MI,2023,Mexico,"Bakery Goods, Cereals, And Pasta",418445,4,Exports,Fiscal Quarter 4
WI,2020,Mexico,Processed Fruit,4210533,3,Exports,Fiscal Quarter 3
DE,2022,World,Food Preparations,2758047,3,Exports,Fiscal Quarter 3
RI,2024,United Kingdom,"Bakery Goods, Cereals, And Pasta",63669,1,Exports,Fiscal Quarter 1
OH,2021,Philippines,Pork And Pork Products,3242629,1,Exports,Fiscal Quarter 1
PA,2024,Mexico,Essential Oils,384184,1,Exports,Fiscal Quarter 1
NE,2019,Japan,Pork And Pork Products,75860467,1,Exports,Fiscal Quarter 1
LA,2019,Colombia,Soybean Meal,105416846,2,Exports,Fiscal Quarter 2
GA,2024,World,"Other Feeds, Meals, And Fodders",56044001,2,Exports,Fiscal Quarter 2
FL,2024,Barbados,Fresh Fruit,3276599,2,Exports,Fiscal Quarter 2
MA,2020,Canada,Dairy Products,786232,3,Exports,Fiscal Quarter 3
SD,2019,Canada,Ethanol (Non-Beverage),19054821,4,Exports,Fiscal Quarter 4
MS,2019,Canada,Rice,4344210,4,Exports,Fiscal Quarter 4
OH,2023,South Korea,Pork And Pork Products,2007994,2,Exports,Fiscal Quarter 2
NJ,2022,United Kingdom,Vegetable Oils (Excluding Soybean),5777891,2,Exports,Fiscal Quarter 2
GA,2020,Turkey,Cotton,1700565,1,Exports,Fiscal Quarter 1
VA,2023,Thailand,Soybeans,7872518,3,Exports,Fiscal Quarter 3
MI,2020,Canada,"Bakery Goods, Cereals, And Pasta",41218881,4,Exports,Fiscal Quarter 4
CA,2023,Mexico,Dairy Products,162395601,1,Exports,Fiscal Quarter 1
CA,2020,South Korea,Fresh Fruit,156645652,2,Exports,Fiscal Quarter 2
US,2023,Japan,Corn,1074680191,3,Exports,Fiscal Quarter 3
AZ,2024,United Kingdom,Non-Alcoholic Beverages (Excluding Juices),31219,1,Exports,Fiscal Quarter 1
TN,2023,Turkey,Cotton,28104719,3,Exports,Fiscal Quarter 3
WV,2022,Canada,"Other Feeds, Meals, And Fodders",314802,3,Exports,Fiscal Quarter 3
ID,2024,Mexico,Dairy Products,5579209,3,Exports,Fiscal Quarter 3
NJ,2023,Jamaica,Fruit And Vegetable Juices,295480,2,Exports,Fiscal Quarter 2
MI,2022,China,Beef And Beef Products,2309112,2,Exports,Fiscal Quarter 2
PA,2022,Mexico,"Bakery Goods, Cereals, And Pasta",1174904,2,Exports,Fiscal Quarter 2
GA,2023,Uruguay,Vegetable Oils (Excluding Soybean),2188381,2,Exports,Fiscal Quarter 2
NE,2022,South Korea,Beef And Beef Products,135854299,4,Exports,Fiscal Quarter 4
VT,2019,Indonesia,Dairy Products,696535,3,Exports,Fiscal Quarter 3
MI,2021,World,Dairy Products,63334709,2,Exports,Fiscal Quarter 2
VI,2021,British Virgin Islands,Wine And Related Products,10605,4,Exports,Fiscal Quarter 4
GA,2019,Mexico,Food Preparations,3067742,1,Exports,Fiscal Quarter 1
NJ,2020,Ireland,Essential Oils,25509519,2,Exports,Fiscal Quarter 2
CT,2019,World,"Dextrins, Peptones, And Proteins",2537185,4,Exports,Fiscal Quarter 4
DE,2024,China,Food Preparations,10550,1,Exports,Fiscal Quarter 1
MT,2020,Colombia,Pulses,2256014,2,Exports,Fiscal Quarter 2
VA,2019,South Korea,Tobacco,2758148,1,Exports,Fiscal Quarter 1
MN,2024,Canada,"Other Feeds, Meals, And Fodders",10416792,2,Exports,Fiscal Quarter 2
CA,2022,China,Tree Nuts,45959735,2,Exports,Fiscal Quarter 2
OR,2020,China,Processed Vegetables,1759359,4,Exports,Fiscal Quarter 4
OR,2024,Mexico,Processed Vegetables,4560131,3,Exports,Fiscal Quarter 3
MI,2022,Japan,Soybean Meal,4098333,1,Exports,Fiscal Quarter 1
DE,2024,World,Poultry Meat And Products (Excluding Eggs),16319416,1,Exports,Fiscal Quarter 1
MA,2020,China,Processed Fruit,1177834,4,Exports,Fiscal Quarter 4
MS,2022,Pakistan,Cotton,43049057,3,Exports,Fiscal Quarter 3
MD,2024,Indonesia,Soybeans,3726573,3,Exports,Fiscal Quarter 3
PA,2023,Mexico,"Bakery Goods, Cereals, And Pasta",1783756,2,Exports,Fiscal Quarter 2
IN,2024,Mexico,"Sugar, Sweeteners, Beverage Bases",31128640,1,Exports,Fiscal Quarter 1
OH,2022,Panama,"Bakery Goods, Cereals, And Pasta",473909,3,Exports,Fiscal Quarter 3
MN,2024,Thailand,"Other Feeds, Meals, And Fodders",3878257,1,Exports,Fiscal Quarter 1
FL,2023,Jamaica,Food Preparations,5967246,4,Exports,Fiscal Quarter 4
WA,2021,South Korea,Corn,361159982,3,Exports,Fiscal Quarter 3
WY,2020,Dominican Republic,Pulses,566741,3,Exports,Fiscal Quarter 3
WI,2022,World,Food Preparations,55543472,1,Exports,Fiscal Quarter 1
NY,2021,World,Dairy Products,34384070,1,Exports,Fiscal Quarter 1
CO,2023,World,Hides And Skins,20006812,3,Exports,Fiscal Quarter 3
DE,2021,Canada,Food Preparations,1207752,1,Exports,Fiscal Quarter 1
AZ,2024,Kuwait,Fresh Fruit,162210,2,Exports,Fiscal Quarter 2
NJ,2022,Mexico,Vegetable Oils (Excluding Soybean),2342126,3,Exports,Fiscal Quarter 3
UT,2019,Japan,Hay,12199065,2,Exports,Fiscal Quarter 2
VA,2019,Morocco,Soybean Meal,9851,1,Exports,Fiscal Quarter 1
NV,2022,South Korea,Food Preparations,314520,3,Exports,Fiscal Quarter 3
WY,2019,Vietnam,Distilled Spirits,75096,4,Exports,Fiscal Quarter 4
TN,2023,Germany,Distilled Spirits,18864862,4,Exports,Fiscal Quarter 4
IA,2024,Japan,Ethanol (Non-Beverage),1021542,3,Exports,Fiscal Quarter 3
NH,2020,Australia,Confectionery,156396,3,Exports,Fiscal Quarter 3
KY,2023,Mexico,"Other Feeds, Meals, And Fodders",2150726,3,Exports,Fiscal Quarter 3
TN,2022,Singapore,"Dextrins, Peptones, And Proteins",2041458,4,Exports,Fiscal Quarter 4
AK,2021,Vietnam,"Other Feeds, Meals, And Fodders",13200,3,Exports,Fiscal Quarter 3
VT,2021,Japan,Dairy Products,351800,1,Exports,Fiscal Quarter 1
ME,2021,Guatemala,Processed Vegetables,544981,2,Exports,Fiscal Quarter 2
AL,2021,Bangladesh,Soybeans,45691563,1,Exports,Fiscal Quarter 1
US,2022,World,Dairy Products,1874928712,1,Exports,Fiscal Quarter 1
MS,2020,Canada,Rice,5476222,3,Exports,Fiscal Quarter 3
AR,2019,Canada,Rice,15638293,3,Exports,Fiscal Quarter 3
MA,2022,World,"Bakery Goods, Cereals, And Pasta",8744087,4,Exports,Fiscal Quarter 4
PA,2022,Philippines,Chocolate And Cocoa Products,1952096,1,Exports,Fiscal Quarter 1
MD,2024,Iraq,Poultry Meat And Products (Excluding Eggs),2557107,2,Exports,Fiscal Quarter 2
AZ,2024,World,Fresh Vegetables,232216754,2,Exports,Fiscal Quarter 2
WA,2024,World,Processed Vegetables,316796395,2,Exports,Fiscal Quarter 2
AZ,2020,Colombia,Food Preparations,641635,3,Exports,Fiscal Quarter 3
LA,2023,China,Soybeans,4797477322,1,Exports,Fiscal Quarter 1
WI,2023,World,Soybeans,77031754,2,Exports,Fiscal Quarter 2
CT,2020,World,"Bakery Goods, Cereals, And Pasta",5770558,4,Exports,Fiscal Quarter 4
NY,2022,World,Dairy Products,37486609,2,Exports,Fiscal Quarter 2
WI,2023,Mexico,Soybeans,54819539,2,Exports,Fiscal Quarter 2
MA,2021,World,Dairy Products,17252880,3,Exports,Fiscal Quarter 3
MD,2021,Vietnam,Soybeans,672117,3,Exports,Fiscal Quarter 3
IA,2022,Taiwan,Beef And Beef Products,24456013,4,Exports,Fiscal Quarter 4
IN,2022,Indonesia,"Other Feeds, Meals, And Fodders",4332377,4,Exports,Fiscal Quarter 4
WI,2022,Vietnam,Soybeans,5324366,3,Exports,Fiscal Quarter 3
WI,2020,World,Dairy Products,116157464,3,Exports,Fiscal Quarter 3
NE,2021,South Korea,Beef And Beef Products,129768242,3,Exports,Fiscal Quarter 3
RI,2019,Canada,"Meat Products, Nesoi",1181512,1,Exports,Fiscal Quarter 1
