State,Fiscal year,Country,Commodity name,Dollar value,Fiscal quarter,Trade type,Fiscal quarter description
TX,2023,Guatemala,Processed Fruit And Vegetables,14712445,4,Imports,Fiscal Quarter 4
ND,2022,Bulgaria,Oilseeds,4986683,3,Imports,Fiscal Quarter 3
IA,2021,Serbia,Live Animals,57000,4,Imports,Fiscal Quarter 4
US,2020,World,Processed Fruit And Vegetables,2496025103,3,Imports,Fiscal Quarter 3
NJ,2020,Switzerland,Dairy Products,17502338,3,Imports,Fiscal Quarter 3
MA,2021,Netherlands,Distilled Spirits,3765127,4,Imports,Fiscal Quarter 4
RI,2023,New Zealand,Wine And Related Products,562296,2,Imports,Fiscal Quarter 2
OR,2021,World,Fresh Vegetables,13874869,4,Imports,Fiscal Quarter 4
MN,2024,Canada,Fresh Vegetables,25486022,3,Imports,Fiscal Quarter 3
PA,2020,Mexico,"Baked Goods, Cereals, And Pasta",31480615,4,Imports,Fiscal Quarter 4
VA,2024,Italy,Vegetable Oils,9643518,1,Imports,Fiscal Quarter 1
GA,2021,Mexico,Non-Alcoholic Beverages (Excluding Juices),56694195,1,Imports,Fiscal Quarter 1
AL,2019,Canada,"Baked Goods, Cereals, And Pasta",5394615,3,Imports,Fiscal Quarter 3
VA,2021,Mexico,Processed Fruit And Vegetables,7917825,3,Imports,Fiscal Quarter 3
MD,2019,World,"Coffee, Unroasted",96574429,2,Imports,Fiscal Quarter 2
ND,2020,China,Processed Fruit And Vegetables,2976807,1,Imports,Fiscal Quarter 1
NC,2022,Ireland,Essential Oils,84510694,4,Imports,Fiscal Quarter 4
WA,2020,Peru,Processed Fruit And Vegetables,10008642,2,Imports,Fiscal Quarter 2
HI,2024,South Korea,Beer,38344,3,Imports,Fiscal Quarter 3
OH,2020,Brazil,Vegetable Oils,1014541,3,Imports,Fiscal Quarter 3
IL,2023,World,"Baked Goods, Cereals, And Pasta",334925721,4,Imports,Fiscal Quarter 4
WV,2020,Canada,Wine And Related Products,766925,2,Imports,Fiscal Quarter 2
RI,2023,Canada,Pork And Pork Products,3007493,3,Imports,Fiscal Quarter 3
TX,2020,World,Fresh Fruit - Other,216832808,4,Imports,Fiscal Quarter 4
IL,2024,World,Beef And Beef Products,178054858,1,Imports,Fiscal Quarter 1
RI,2019,World,Distilled Spirits,4503240,1,Imports,Fiscal Quarter 1
IL,2022,World,Processed Fruit And Vegetables,177100551,1,Imports,Fiscal Quarter 1
CO,2023,Italy,Wine And Related Products,6036176,3,Imports,Fiscal Quarter 3
ME,2022,Denmark,"Baked Goods, Cereals, And Pasta",66043,4,Imports,Fiscal Quarter 4
AK,2023,World,Nursery Products And Cut Flowers,174252,2,Imports,Fiscal Quarter 2
FL,2022,Guatemala,Nursery Products And Cut Flowers,12576532,3,Imports,Fiscal Quarter 3
GA,2020,China,Processed Fruit And Vegetables,22327463,3,Imports,Fiscal Quarter 3
TN,2019,Italy,Wine And Related Products,1258524,4,Imports,Fiscal Quarter 4
DE,2019,Ecuador,Fresh Fruit - Bananas,2607102,4,Imports,Fiscal Quarter 4
OR,2024,World,Vegetable Oils,22510695,2,Imports,Fiscal Quarter 2
TN,2024,Vietnam,Vegetable Oils,285768,1,Imports,Fiscal Quarter 1
NM,2020,Canada,Oilseed Meal And Cake,5945446,4,Imports,Fiscal Quarter 4
VT,2021,Canada,Other Feeds And Grain Products,11717933,1,Imports,Fiscal Quarter 1
VA,2021,Turkey,Tree Nuts,3002781,1,Imports,Fiscal Quarter 1
CT,2021,Brazil,"Sugars, Sweeteners, And Beverage Bases",6442787,1,Imports,Fiscal Quarter 1
WA,2023,Canada,Live Animals,91765320,4,Imports,Fiscal Quarter 4
MS,2020,World,Nursery Products And Cut Flowers,3670889,2,Imports,Fiscal Quarter 2
MA,2021,Canada,Vegetable Oils,37291628,3,Imports,Fiscal Quarter 3
IA,2019,World,Planting Seeds,41584985,3,Imports,Fiscal Quarter 3
IL,2020,France,Distilled Spirits,19028954,2,Imports,Fiscal Quarter 2
MI,2019,France,"Baked Goods, Cereals, And Pasta",2778932,3,Imports,Fiscal Quarter 3
NY,2019,Greece,Processed Fruit And Vegetables,14130745,4,Imports,Fiscal Quarter 4
WI,2019,China,Other Livestock Products,283377,4,Imports,Fiscal Quarter 4
WY,2019,Poland,Vegetable Oils,29310,4,Imports,Fiscal Quarter 4
MS,2022,United Kingdom,"Baked Goods, Cereals, And Pasta",1834738,4,Imports,Fiscal Quarter 4
CT,2019,France,Distilled Spirits,2901839,2,Imports,Fiscal Quarter 2
DC,2019,Netherlands,Distilled Spirits,603795,3,Imports,Fiscal Quarter 3
VI,2021,France,Wine And Related Products,149380,3,Imports,Fiscal Quarter 3
TN,2024,Mexico,"Baked Goods, Cereals, And Pasta",396627,3,Imports,Fiscal Quarter 3
KS,2020,India,Processed Fruit And Vegetables,479442,1,Imports,Fiscal Quarter 1
MA,2019,World,Vegetable Oils,60470674,1,Imports,Fiscal Quarter 1
VA,2024,Canada,Processed Fruit And Vegetables,12027319,2,Imports,Fiscal Quarter 2
AZ,2019,Mexico,Fresh Vegetables,432834933,1,Imports,Fiscal Quarter 1
WA,2021,China,Other Livestock Products,429951,2,Imports,Fiscal Quarter 2
VT,2021,Indonesia,"Sugars, Sweeteners, And Beverage Bases",1407740,4,Imports,Fiscal Quarter 4
NC,2019,World,Processed Fruit And Vegetables,15325307,2,Imports,Fiscal Quarter 2
UT,2023,Italy,"Baked Goods, Cereals, And Pasta",286184,4,Imports,Fiscal Quarter 4
NV,2020,France,Distilled Spirits,2471894,2,Imports,Fiscal Quarter 2
NV,2022,Italy,"Baked Goods, Cereals, And Pasta",262219,3,Imports,Fiscal Quarter 3
SC,2023,Canada,Processed Fruit And Vegetables,3309707,4,Imports,Fiscal Quarter 4
ME,2023,Canada,Processed Fruit And Vegetables,7165727,2,Imports,Fiscal Quarter 2
OK,2023,World,Pet Food,9030503,3,Imports,Fiscal Quarter 3
DE,2024,Egypt,Processed Fruit And Vegetables,9157342,2,Imports,Fiscal Quarter 2
WA,2024,World,Live Animals,128487836,3,Imports,Fiscal Quarter 3
KS,2019,India,Processed Fruit And Vegetables,889710,4,Imports,Fiscal Quarter 4
RI,2022,Australia,Wine And Related Products,273115,3,Imports,Fiscal Quarter 3
KY,2020,Sweden,"Tobacco, Manufactured",4786366,4,Imports,Fiscal Quarter 4
SC,2022,Brazil,Beef And Beef Products,5464115,1,Imports,Fiscal Quarter 1
CT,2023,Peru,Processed Fruit And Vegetables,466033,4,Imports,Fiscal Quarter 4
NM,2024,Mexico,Live Animals,23729768,1,Imports,Fiscal Quarter 1
NM,2022,World,Tree Nuts,11942760,1,Imports,Fiscal Quarter 1
MA,2024,Spain,Wine And Related Products,1638459,2,Imports,Fiscal Quarter 2
ID,2022,Denmark,Planting Seeds,1007891,1,Imports,Fiscal Quarter 1
NM,2024,World,Live Animals,21332752,2,Imports,Fiscal Quarter 2
CO,2022,Spain,Wine And Related Products,1261877,3,Imports,Fiscal Quarter 3
MN,2019,Ireland,Distilled Spirits,4777655,2,Imports,Fiscal Quarter 2
MO,2024,Canada,Processed Fruit And Vegetables,5418450,1,Imports,Fiscal Quarter 1
NY,2020,Italy,"Baked Goods, Cereals, And Pasta",20518489,3,Imports,Fiscal Quarter 3
ID,2019,South Africa,Vegetable Oils,12800,3,Imports,Fiscal Quarter 3
FL,2021,Honduras,"Tobacco, Manufactured",21160899,3,Imports,Fiscal Quarter 3
MI,2024,Canada,Fresh Vegetables,89484469,3,Imports,Fiscal Quarter 3
SC,2021,United Kingdom,Distilled Spirits,2380909,3,Imports,Fiscal Quarter 3
SC,2023,Mexico,Dairy Products,149795,4,Imports,Fiscal Quarter 4
HI,2023,Japan,Wine And Related Products,615849,4,Imports,Fiscal Quarter 4
CA,2019,New Zealand,Fresh Fruit - Berries,12277976,3,Imports,Fiscal Quarter 3
GA,2021,Canada,"Baked Goods, Cereals, And Pasta",54537362,3,Imports,Fiscal Quarter 3
UT,2023,World,Essential Oils,41692766,1,Imports,Fiscal Quarter 1
AK,2021,Thailand,Nursery Products And Cut Flowers,5581,3,Imports,Fiscal Quarter 3
KS,2021,Canada,Vegetable Oils,1876706,1,Imports,Fiscal Quarter 1
NH,2022,World,Yeast And Baking Powder,3097814,1,Imports,Fiscal Quarter 1
GA,2021,Malaysia,Vegetable Oils,11652034,3,Imports,Fiscal Quarter 3
AL,2023,France,Wine And Related Products,824531,1,Imports,Fiscal Quarter 1
RI,2021,World,Fresh Vegetables,1678885,1,Imports,Fiscal Quarter 1
AK,2020,Canada,Other Feeds And Grain Products,1286259,1,Imports,Fiscal Quarter 1
VT,2021,World,Coarse Grains (Including Corn),11204690,2,Imports,Fiscal Quarter 2
US,2022,Thailand,Processed Fruit And Vegetables,140956663,2,Imports,Fiscal Quarter 2
KS,2020,Australia,Beef And Beef Products,3719423,3,Imports,Fiscal Quarter 3
MN,2023,Canada,Live Animals,32494151,3,Imports,Fiscal Quarter 3
AL,2024,China,Processed Fruit And Vegetables,71312,2,Imports,Fiscal Quarter 2
GA,2019,Switzerland,Non-Alcoholic Beverages (Excluding Juices),14963780,1,Imports,Fiscal Quarter 1
IN,2023,Spain,Chocolate And Cocoa Products,974864,4,Imports,Fiscal Quarter 4
PR,2022,Canada,"Baked Goods, Cereals, And Pasta",1709339,4,Imports,Fiscal Quarter 4
TN,2020,France,Distilled Spirits,3119150,4,Imports,Fiscal Quarter 4
VT,2019,Canada,Other Feeds And Grain Products,10853104,1,Imports,Fiscal Quarter 1
UT,2020,World,Chocolate And Cocoa Products,13808576,3,Imports,Fiscal Quarter 3
PR,2019,Netherlands,Beer,11500993,1,Imports,Fiscal Quarter 1
NY,2023,Taiwan,"Baked Goods, Cereals, And Pasta",9167101,1,Imports,Fiscal Quarter 1
NE,2021,Canada,Other Feeds And Grain Products,4560102,1,Imports,Fiscal Quarter 1
MO,2023,United Kingdom,Distilled Spirits,3145205,3,Imports,Fiscal Quarter 3
MI,2020,Germany,Processed Fruit And Vegetables,1040110,1,Imports,Fiscal Quarter 1
MI,2023,Mexico,Beef And Beef Products,10765726,4,Imports,Fiscal Quarter 4
NH,2021,Canada,Chocolate And Cocoa Products,332465,3,Imports,Fiscal Quarter 3
KS,2021,World,Processed Fruit And Vegetables,6915055,3,Imports,Fiscal Quarter 3
MT,2022,Canada,Pulses,10913986,2,Imports,Fiscal Quarter 2
LA,2021,Germany,Industrial Alcohols And Fatty Acids,131243,4,Imports,Fiscal Quarter 4
TX,2021,Guatemala,Fresh Vegetables,377136,4,Imports,Fiscal Quarter 4
TN,2021,Canada,Vegetable Oils,23799243,2,Imports,Fiscal Quarter 2
SC,2022,France,Distilled Spirits,5668180,3,Imports,Fiscal Quarter 3
TN,2021,World,Processed Fruit And Vegetables,13521819,3,Imports,Fiscal Quarter 3
AL,2019,France,Wine And Related Products,676266,1,Imports,Fiscal Quarter 1
VI,2020,Argentina,Wine And Related Products,63559,1,Imports,Fiscal Quarter 1
CO,2019,United Kingdom,Distilled Spirits,5467038,4,Imports,Fiscal Quarter 4
OR,2022,Mexico,Fresh Vegetables,6281311,1,Imports,Fiscal Quarter 1
NC,2019,World,Processed Fruit And Vegetables,17743261,4,Imports,Fiscal Quarter 4
HI,2023,Japan,"Baked Goods, Cereals, And Pasta",1616832,2,Imports,Fiscal Quarter 2
MN,2019,World,Live Animals,35127223,3,Imports,Fiscal Quarter 3
VI,2023,World,"Sugars, Sweeteners, And Beverage Bases",22674,1,Imports,Fiscal Quarter 1
TN,2023,World,"Baked Goods, Cereals, And Pasta",21632728,3,Imports,Fiscal Quarter 3
NC,2022,World,"Baked Goods, Cereals, And Pasta",22710712,2,Imports,Fiscal Quarter 2
KS,2020,Australia,Other Feeds And Grain Products,39078268,4,Imports,Fiscal Quarter 4
RI,2021,New Zealand,Wine And Related Products,283588,1,Imports,Fiscal Quarter 1
CO,2020,Canada,Beef And Beef Products,10738319,1,Imports,Fiscal Quarter 1
MN,2023,Colombia,Fresh Fruit - Other,84619,1,Imports,Fiscal Quarter 1
AL,2019,China,"Baked Goods, Cereals, And Pasta",225199,3,Imports,Fiscal Quarter 3
KY,2022,Japan,Distilled Spirits,14854409,2,Imports,Fiscal Quarter 2
MO,2023,China,Processed Fruit And Vegetables,3165273,4,Imports,Fiscal Quarter 4
UT,2021,Kenya,Essential Oils,3788970,2,Imports,Fiscal Quarter 2
MA,2021,Mexico,Fresh Vegetables,1829873,1,Imports,Fiscal Quarter 1
AR,2021,Chile,Processed Fruit And Vegetables,781941,2,Imports,Fiscal Quarter 2
RI,2024,Italy,Wine And Related Products,1085773,1,Imports,Fiscal Quarter 1
DE,2024,Morocco,Fresh Fruit - Other,1392100,1,Imports,Fiscal Quarter 1
MO,2023,Canada,"Baked Goods, Cereals, And Pasta",36654266,1,Imports,Fiscal Quarter 1
VT,2023,Canada,"Sugars, Sweeteners, And Beverage Bases",9073220,3,Imports,Fiscal Quarter 3
PR,2020,Canada,"Baked Goods, Cereals, And Pasta",1560020,4,Imports,Fiscal Quarter 4
MT,2022,World,Pulses,10957476,2,Imports,Fiscal Quarter 2
CA,2019,China,Fresh Vegetables,10141783,2,Imports,Fiscal Quarter 2
MD,2021,Ethiopia,"Coffee, Unroasted",1170676,1,Imports,Fiscal Quarter 1
CO,2020,World,Beef And Beef Products,16479817,1,Imports,Fiscal Quarter 1
MD,2024,Brazil,"Coffee, Unroasted",37734995,2,Imports,Fiscal Quarter 2
CT,2020,France,Distilled Spirits,5674811,3,Imports,Fiscal Quarter 3
PR,2023,United Kingdom,Distilled Spirits,18543170,1,Imports,Fiscal Quarter 1
MD,2021,Spain,Vegetable Oils,16657963,1,Imports,Fiscal Quarter 1
TX,2024,Germany,"Baked Goods, Cereals, And Pasta",3875704,3,Imports,Fiscal Quarter 3
PR,2023,Guatemala,"Sugars, Sweeteners, And Beverage Bases",14771037,4,Imports,Fiscal Quarter 4
UT,2021,France,Essential Oils,3455054,3,Imports,Fiscal Quarter 3
AR,2023,Canada,Distilled Spirits,5042953,4,Imports,Fiscal Quarter 4
GA,2024,World,Non-Alcoholic Beverages (Excluding Juices),128561844,1,Imports,Fiscal Quarter 1
ME,2021,World,Nursery Products And Cut Flowers,13241788,2,Imports,Fiscal Quarter 2
KS,2020,Canada,Other Livestock Products,1620525,3,Imports,Fiscal Quarter 3
OR,2022,Canada,Vegetable Oils,24941727,3,Imports,Fiscal Quarter 3
MA,2019,Italy,Distilled Spirits,3401184,4,Imports,Fiscal Quarter 4
VT,2020,Canada,Chocolate And Cocoa Products,51665808,1,Imports,Fiscal Quarter 1
ME,2020,Italy,Distilled Spirits,46402,3,Imports,Fiscal Quarter 3
NE,2022,Canada,Beef And Beef Products,23326690,4,Imports,Fiscal Quarter 4
WA,2021,Hungary,Live Animals,100048,4,Imports,Fiscal Quarter 4
OH,2023,World,Processed Fruit And Vegetables,46797515,1,Imports,Fiscal Quarter 1
RI,2020,Italy,Pork And Pork Products,1199336,4,Imports,Fiscal Quarter 4
MA,2024,World,Wine And Related Products,61661401,1,Imports,Fiscal Quarter 1
MO,2022,World,Other Feeds And Grain Products,17643559,2,Imports,Fiscal Quarter 2
ND,2021,China,Processed Fruit And Vegetables,1801000,4,Imports,Fiscal Quarter 4
IA,2019,Canada,Coarse Grains (Including Corn),20341727,4,Imports,Fiscal Quarter 4
MD,2024,Guatemala,"Sugars, Sweeteners, And Beverage Bases",14664751,3,Imports,Fiscal Quarter 3
CT,2022,World,"Coffee, Unroasted",29171351,3,Imports,Fiscal Quarter 3
AK,2024,World,Other Feeds And Grain Products,1618580,1,Imports,Fiscal Quarter 1
IN,2021,Canada,Vegetable Oils,36888422,2,Imports,Fiscal Quarter 2
MO,2021,Mexico,Beer,2616799,4,Imports,Fiscal Quarter 4
PA,2019,Canada,"Baked Goods, Cereals, And Pasta",106884041,1,Imports,Fiscal Quarter 1
TX,2021,Argentina,Fresh Fruit - Berries,355728,4,Imports,Fiscal Quarter 4
DE,2023,Canada,Other Feeds And Grain Products,2566420,1,Imports,Fiscal Quarter 1
WA,2023,World,Other Livestock Products,85794598,2,Imports,Fiscal Quarter 2
LA,2023,Nicaragua,"Coffee, Unroasted",13396220,4,Imports,Fiscal Quarter 4
DE,2024,Ecuador,Fresh Fruit - Bananas,3562326,3,Imports,Fiscal Quarter 3
IL,2022,France,"Baked Goods, Cereals, And Pasta",11671294,3,Imports,Fiscal Quarter 3
PR,2023,Mexico,"Baked Goods, Cereals, And Pasta",4701017,3,Imports,Fiscal Quarter 3
NY,2023,World,Wine And Related Products,386293853,3,Imports,Fiscal Quarter 3
WV,2024,Italy,Wine And Related Products,93338,3,Imports,Fiscal Quarter 3
MO,2019,Indonesia,Chocolate And Cocoa Products,4693695,1,Imports,Fiscal Quarter 1
NV,2019,Mexico,Distilled Spirits,53149658,1,Imports,Fiscal Quarter 1
KS,2022,World,Other Feeds And Grain Products,61189665,4,Imports,Fiscal Quarter 4
IN,2021,Thailand,Processed Fruit And Vegetables,1531131,1,Imports,Fiscal Quarter 1
RI,2020,France,Distilled Spirits,959044,2,Imports,Fiscal Quarter 2
VI,2019,World,Non-Alcoholic Beverages (Excluding Juices),423987,3,Imports,Fiscal Quarter 3
NM,2020,World,Live Animals,38535002,2,Imports,Fiscal Quarter 2
AZ,2020,Mexico,"Sugars, Sweeteners, And Beverage Bases",5210179,1,Imports,Fiscal Quarter 1
UT,2019,Peru,Chocolate And Cocoa Products,173250,1,Imports,Fiscal Quarter 1
VT,2019,World,Oilseed Meal And Cake,9809239,3,Imports,Fiscal Quarter 3
NY,2023,Morocco,Fresh Fruit - Other,34778,4,Imports,Fiscal Quarter 4
ID,2022,Chile,Processed Fruit And Vegetables,5244675,4,Imports,Fiscal Quarter 4
NY,2020,World,Essential Oils,170080049,3,Imports,Fiscal Quarter 3
RI,2021,Australia,Wine And Related Products,266028,4,Imports,Fiscal Quarter 4
OK,2020,Mexico,Fresh Vegetables,1764342,4,Imports,Fiscal Quarter 4
PR,2020,Peru,Processed Fruit And Vegetables,2068620,3,Imports,Fiscal Quarter 3
FL,2019,World,"Tobacco, Manufactured",270244678,4,Imports,Fiscal Quarter 4
HI,2020,Philippines,"Baked Goods, Cereals, And Pasta",213448,3,Imports,Fiscal Quarter 3
VT,2023,Belgium,Other Feeds And Grain Products,344957,4,Imports,Fiscal Quarter 4
CT,2021,France,Distilled Spirits,9447137,2,Imports,Fiscal Quarter 2
AZ,2019,Mexico,"Baked Goods, Cereals, And Pasta",5820347,4,Imports,Fiscal Quarter 4
WA,2022,Brazil,"Coffee, Unroasted",4675650,3,Imports,Fiscal Quarter 3
NM,2024,Mexico,Spices,4498259,2,Imports,Fiscal Quarter 2
OR,2021,Canada,Beef And Beef Products,19253400,4,Imports,Fiscal Quarter 4
CT,2020,France,Wine And Related Products,34849729,4,Imports,Fiscal Quarter 4
MA,2021,World,Wine And Related Products,94104709,3,Imports,Fiscal Quarter 3
CT,2023,Canada,"Baked Goods, Cereals, And Pasta",12331209,2,Imports,Fiscal Quarter 2
NJ,2024,Mexico,Processed Fruit And Vegetables,41352294,2,Imports,Fiscal Quarter 2
MT,2019,World,Live Animals,1189574,4,Imports,Fiscal Quarter 4
IL,2024,Canada,"Baked Goods, Cereals, And Pasta",225736072,1,Imports,Fiscal Quarter 1
FL,2021,Ecuador,Fresh Fruit - Bananas,32414311,3,Imports,Fiscal Quarter 3
OK,2021,Bulgaria,Processed Fruit And Vegetables,21750,4,Imports,Fiscal Quarter 4
VA,2022,Canada,Processed Fruit And Vegetables,8183833,2,Imports,Fiscal Quarter 2
MA,2021,Mexico,Distilled Spirits,7560145,3,Imports,Fiscal Quarter 3
MT,2020,Canada,Coarse Grains (Including Corn),2166523,2,Imports,Fiscal Quarter 2
MA,2019,Canada,Vegetable Oils,31077281,4,Imports,Fiscal Quarter 4
DC,2022,Japan,"Baked Goods, Cereals, And Pasta",186039,2,Imports,Fiscal Quarter 2
SD,2023,Germany,Planting Seeds,57200,2,Imports,Fiscal Quarter 2
NJ,2022,World,Processed Fruit And Vegetables,478531063,4,Imports,Fiscal Quarter 4
AZ,2021,Mexico,Processed Fruit And Vegetables,10229429,1,Imports,Fiscal Quarter 1
NE,2022,Germany,Other Feeds And Grain Products,79760,2,Imports,Fiscal Quarter 2
UT,2023,World,Live Animals,97232927,4,Imports,Fiscal Quarter 4
DE,2023,Germany,Other Feeds And Grain Products,381576,1,Imports,Fiscal Quarter 1
NH,2021,Canada,Beef And Beef Products,2853343,3,Imports,Fiscal Quarter 3
ME,2020,United Kingdom,Distilled Spirits,66104,1,Imports,Fiscal Quarter 1
RI,2021,Portugal,"Baked Goods, Cereals, And Pasta",61496,4,Imports,Fiscal Quarter 4
DE,2021,Colombia,Fresh Fruit - Bananas,31258295,3,Imports,Fiscal Quarter 3
KS,2020,Germany,Other Feeds And Grain Products,167682,3,Imports,Fiscal Quarter 3
MA,2021,Ireland,Distilled Spirits,1816276,2,Imports,Fiscal Quarter 2
US,2023,World,Distilled Spirits,2683236417,3,Imports,Fiscal Quarter 3
DE,2021,World,Processed Fruit And Vegetables,38673920,2,Imports,Fiscal Quarter 2
FL,2020,Dominican Republic,"Tobacco, Manufactured",107291986,3,Imports,Fiscal Quarter 3
NM,2020,World,Oilseed Meal And Cake,5945446,4,Imports,Fiscal Quarter 4
NC,2021,Thailand,"Baked Goods, Cereals, And Pasta",2739096,1,Imports,Fiscal Quarter 1
HI,2023,Spain,Wine And Related Products,127560,1,Imports,Fiscal Quarter 1
IA,2021,Lithuania,Other Feeds And Grain Products,2787909,4,Imports,Fiscal Quarter 4
ID,2024,Chile,Processed Fruit And Vegetables,1681391,1,Imports,Fiscal Quarter 1
NM,2023,World,Spices,9736330,4,Imports,Fiscal Quarter 4
US,2019,Mexico,Distilled Spirits,378416012,2,Imports,Fiscal Quarter 2
MD,2019,Ireland,Distilled Spirits,4048882,1,Imports,Fiscal Quarter 1
TX,2022,Canada,Processed Fruit And Vegetables,55664571,4,Imports,Fiscal Quarter 4
MI,2024,Netherlands,Live Animals,1667260,2,Imports,Fiscal Quarter 2
MO,2023,China,Processed Fruit And Vegetables,1398886,3,Imports,Fiscal Quarter 3
RI,2024,World,Wine And Related Products,2442160,2,Imports,Fiscal Quarter 2
CA,2024,Canada,Vegetable Oils,177353682,1,Imports,Fiscal Quarter 1
TX,2020,Peru,Processed Fruit And Vegetables,9894970,1,Imports,Fiscal Quarter 1
MS,2019,Colombia,Fresh Fruit - Bananas,6838671,4,Imports,Fiscal Quarter 4
NJ,2023,Italy,"Baked Goods, Cereals, And Pasta",39635545,3,Imports,Fiscal Quarter 3
KS,2019,Mexico,Beef And Beef Products,121705,4,Imports,Fiscal Quarter 4
DC,2024,Nicaragua,Chocolate And Cocoa Products,15416,3,Imports,Fiscal Quarter 3
SC,2024,New Zealand,Wine And Related Products,2361357,2,Imports,Fiscal Quarter 2
TX,2021,World,Fresh Vegetables,615569895,2,Imports,Fiscal Quarter 2
MS,2024,World,Fresh Fruit - Bananas,40240589,2,Imports,Fiscal Quarter 2
AR,2021,Canada,Distilled Spirits,6006601,1,Imports,Fiscal Quarter 1
AK,2023,Canada,Other Feeds And Grain Products,1492328,2,Imports,Fiscal Quarter 2
MN,2019,Canada,Live Animals,34806220,3,Imports,Fiscal Quarter 3
FL,2019,Mexico,Fresh Vegetables,40261605,1,Imports,Fiscal Quarter 1
KS,2021,World,Other Feeds And Grain Products,41767781,1,Imports,Fiscal Quarter 1
ME,2020,Mexico,Processed Fruit And Vegetables,686160,3,Imports,Fiscal Quarter 3
AZ,2024,Canada,Live Animals,246202,3,Imports,Fiscal Quarter 3
IA,2023,World,Other Feeds And Grain Products,28394110,3,Imports,Fiscal Quarter 3
